Category: All categories

Region,Coping with stress: (2013)
New Mexico,100
Wisconsin,68
Mississippi,67
West Virginia,66
Arkansas,61
Nevada,59
Connecticut,58
Oklahoma,58
South Carolina,58
Indiana,57
Ohio,55
Missouri,53
Kansas,53
Virginia,48
Minnesota,48
Pennsylvania,45
Florida,44
Kentucky,43
Iowa,43
Tennessee,43
Utah,42
North Carolina,41
Michigan,41
Illinois,41
New York,40
Georgia,39
New Jersey,36
Arizona,35
Massachusetts,34
Maryland,34
California,33
Washington,31
Colorado,29
Oregon,29
Texas,29
Louisiana,25
Alabama,20
North Dakota,
Alaska,
Wyoming,
Rhode Island,
Maine,
Hawaii,
District of Columbia,
Nebraska,
New Hampshire,
Montana,
South Dakota,
Idaho,
Vermont,
Delaware,
