Category: All categories

Region,firearms: (2008)
Montana,100
Wyoming,89
Alaska,80
Idaho,64
South Dakota,63
New Mexico,62
West Virginia,61
Oklahoma,61
Arkansas,61
North Dakota,58
Nevada,55
Kentucky,55
Tennessee,55
Louisiana,55
Utah,53
Mississippi,53
Alabama,51
Maine,51
Kansas,50
South Carolina,48
Colorado,47
Missouri,45
Oregon,45
Arizona,45
Nebraska,44
Texas,42
Iowa,42
Indiana,40
New Hampshire,39
Georgia,39
North Carolina,38
Vermont,38
Ohio,36
Washington,35
Florida,34
Wisconsin,34
Maryland,33
Michigan,33
Minnesota,32
Pennsylvania,31
Rhode Island,31
District of Columbia,29
Connecticut,27
Delaware,26
Hawaii,25
Virginia,24
Massachusetts,24
Illinois,23
New Jersey,23
California,20
New York,14
