Category: All categories

Region,firearms: (2013)
Wyoming,100
Montana,93
Alaska,88
Maine,86
West Virginia,84
New Hampshire,82
Indiana,78
Kentucky,76
Oklahoma,74
Tennessee,73
North Dakota,72
Idaho,71
South Dakota,69
New Mexico,68
Louisiana,67
Texas,65
Arkansas,65
Ohio,64
Mississippi,63
Arizona,63
Nevada,62
Missouri,61
Massachusetts,59
Nebraska,59
Virginia,58
Iowa,57
Alabama,56
Wisconsin,56
Colorado,55
Vermont,55
Washington,55
Pennsylvania,54
South Carolina,54
Michigan,54
Kansas,54
North Carolina,53
Oregon,52
Georgia,49
Rhode Island,49
District of Columbia,49
Utah,48
Delaware,47
Florida,46
Connecticut,44
Hawaii,44
Minnesota,42
Maryland,42
Illinois,41
California,34
New Jersey,33
New York,25
