Category: All categories

Region,firearms: (2020)
New Hampshire,100
Wyoming,93
North Dakota,91
Maine,89
Montana,78
Arizona,73
Kentucky,73
Idaho,73
Oregon,73
Indiana,72
Alaska,72
Nevada,69
West Virginia,69
Missouri,68
Virginia,67
Pennsylvania,67
Oklahoma,66
New Mexico,65
Michigan,65
Massachusetts,65
Louisiana,64
Kansas,62
Tennessee,62
Ohio,61
Vermont,61
Alabama,61
South Dakota,58
Wisconsin,57
Colorado,57
North Carolina,57
Texas,57
Washington,55
Arkansas,55
Delaware,55
Iowa,52
Nebraska,50
Mississippi,50
Rhode Island,50
Georgia,48
South Carolina,48
Florida,47
Utah,45
Minnesota,45
Connecticut,45
Illinois,45
Hawaii,44
Maryland,43
New Jersey,41
District of Columbia,38
California,34
New York,27
