Category: All categories

Region,firearms: (2017)
Montana,100
Wyoming,95
New Hampshire,95
Alaska,87
Maine,86
West Virginia,85
Idaho,85
Kentucky,78
North Dakota,75
Missouri,72
Arizona,70
South Dakota,70
New Mexico,69
Nevada,69
Indiana,69
Tennessee,68
Massachusetts,67
Oregon,66
Louisiana,64
Oklahoma,64
Vermont,63
Ohio,61
Texas,60
Pennsylvania,60
Colorado,60
Virginia,59
Mississippi,58
Arkansas,58
Michigan,58
Alabama,57
North Carolina,57
Utah,57
Nebraska,55
Washington,54
Iowa,54
Kansas,53
District of Columbia,52
Georgia,51
Wisconsin,51
Florida,49
Rhode Island,48
South Carolina,46
Hawaii,46
Delaware,44
Minnesota,44
Connecticut,43
Illinois,42
Maryland,37
California,32
New Jersey,27
New York,26
