Category: All categories

Region,firearms: (2016)
Wyoming,100
Maine,88
Montana,86
New Hampshire,82
Alaska,81
Idaho,72
West Virginia,72
Arizona,67
Kentucky,67
Louisiana,67
Indiana,65
Tennessee,64
Massachusetts,64
Nevada,64
North Dakota,64
Mississippi,62
Oklahoma,61
Texas,59
Vermont,58
New Mexico,57
Oregon,57
Ohio,57
South Dakota,57
Missouri,56
Alabama,54
Colorado,54
Arkansas,54
Pennsylvania,52
North Carolina,52
Michigan,52
Virginia,52
Washington,51
Kansas,51
Utah,51
Georgia,49
Iowa,49
Delaware,46
District of Columbia,46
Nebraska,46
Florida,45
Rhode Island,42
Wisconsin,42
South Carolina,41
Minnesota,39
Connecticut,39
Hawaii,38
Illinois,37
California,36
Maryland,34
New Jersey,31
New York,24
