Category: All categories

Region,firearms: (2005)
Alaska,100
Wyoming,91
North Dakota,79
Montana,79
Mississippi,75
West Virginia,74
Arkansas,70
South Dakota,70
New Mexico,61
Oklahoma,61
Kentucky,58
Idaho,57
Louisiana,56
Alabama,54
Tennessee,54
Maine,50
Colorado,49
Missouri,49
Nevada,48
South Carolina,48
Vermont,47
Arizona,47
Utah,45
New Hampshire,45
Kansas,44
Nebraska,44
Texas,43
Oregon,43
Virginia,43
North Carolina,42
Georgia,41
Minnesota,41
Washington,40
Indiana,40
Ohio,39
Iowa,38
Michigan,38
Pennsylvania,36
Florida,35
District of Columbia,31
Wisconsin,31
Connecticut,31
Maryland,30
Hawaii,29
Illinois,28
Rhode Island,28
Delaware,25
Massachusetts,22
California,22
New Jersey,21
New York,19
