Category: All categories

Region,firearms: (2010)
Montana,100
Wyoming,88
Alaska,83
West Virginia,64
Oklahoma,64
Arkansas,63
Kentucky,63
Idaho,59
Maine,58
Kansas,58
Louisiana,55
Alabama,55
Nevada,53
Tennessee,53
Mississippi,53
New Mexico,53
South Dakota,52
North Dakota,51
South Carolina,49
Missouri,48
Arizona,46
Oregon,46
New Hampshire,46
Colorado,46
Utah,45
Nebraska,45
Indiana,45
Texas,43
Iowa,41
Ohio,40
North Carolina,39
Georgia,38
Michigan,37
Pennsylvania,36
Wisconsin,36
Washington,36
Florida,35
Minnesota,33
Maryland,32
District of Columbia,31
Connecticut,30
Rhode Island,29
New Jersey,29
Massachusetts,27
Delaware,25
Hawaii,25
Vermont,24
Illinois,23
New York,19
Virginia,17
California,15
