Category: All categories

Region,firearms: (2015)
Wyoming,100
Alaska,97
West Virginia,92
New Hampshire,91
Montana,91
Maine,88
Idaho,80
Kentucky,79
Mississippi,78
New Mexico,77
Indiana,73
Tennessee,73
Arkansas,71
Nevada,70
North Dakota,70
South Dakota,68
Louisiana,67
Ohio,66
Arizona,65
Texas,65
Oklahoma,64
Alabama,64
North Carolina,63
Vermont,63
Missouri,61
Massachusetts,61
Nebraska,60
Iowa,58
Pennsylvania,58
Utah,56
Georgia,56
Michigan,54
Washington,54
Kansas,54
South Carolina,53
Oregon,52
Wisconsin,52
Colorado,51
Florida,50
District of Columbia,48
Delaware,46
Rhode Island,46
Illinois,45
Hawaii,45
Minnesota,42
Connecticut,41
California,38
Maryland,37
Virginia,37
New Jersey,32
New York,27
