Category: All categories

Region,firearms: (2011)
Wyoming,100
Montana,73
West Virginia,63
Alaska,61
Louisiana,60
Oklahoma,59
Kentucky,59
Arkansas,57
Mississippi,54
Idaho,52
South Dakota,52
Maine,52
Tennessee,51
New Hampshire,50
North Dakota,50
Texas,49
Ohio,49
New Mexico,48
Alabama,47
Arizona,46
Nevada,46
Indiana,45
Missouri,45
Nebraska,45
Iowa,44
South Carolina,43
Kansas,43
Oregon,42
North Carolina,41
Virginia,39
Georgia,38
Vermont,38
Michigan,37
Pennsylvania,37
Washington,37
Massachusetts,36
Utah,34
Colorado,34
Florida,32
Wisconsin,31
Rhode Island,31
Delaware,30
District of Columbia,28
Connecticut,28
Illinois,27
Hawaii,27
Minnesota,25
Maryland,23
California,21
New Jersey,19
New York,17
