Category: All categories

Region,sexual abuse: (2004)
Arkansas,100
New Hampshire,100
Alaska,99
New Mexico,91
Montana,88
Delaware,85
Minnesota,82
North Dakota,82
Nebraska,80
Iowa,80
Mississippi,79
Nevada,75
Missouri,75
Wisconsin,67
Maine,65
Colorado,64
Rhode Island,63
South Dakota,62
Arizona,61
Kentucky,61
Idaho,60
Washington,60
Indiana,60
Utah,59
West Virginia,54
Illinois,53
Alabama,53
Maryland,52
North Carolina,52
New York,51
District of Columbia,50
Massachusetts,50
Hawaii,49
Michigan,48
Kansas,48
Wyoming,48
Tennessee,48
Virginia,47
Connecticut,47
Georgia,45
Pennsylvania,45
Texas,44
South Carolina,42
Ohio,42
California,42
Louisiana,41
Oregon,41
Oklahoma,38
New Jersey,37
Florida,36
Vermont,33
