Category: All categories

Region,sexual abuse: (2011)
Iowa,100
Alaska,93
Kentucky,86
Delaware,83
Maine,78
West Virginia,78
Mississippi,75
South Dakota,74
Utah,74
Wyoming,72
Vermont,72
Alabama,72
Rhode Island,72
New Mexico,71
Montana,71
South Carolina,70
North Dakota,69
Indiana,65
Idaho,65
Pennsylvania,64
Wisconsin,62
Arkansas,62
Ohio,62
Oregon,61
Tennessee,60
Oklahoma,60
New Hampshire,59
Missouri,59
Kansas,59
Nebraska,58
Illinois,58
District of Columbia,57
Arizona,57
Minnesota,57
Maryland,57
Louisiana,56
Virginia,53
Colorado,52
Michigan,52
Massachusetts,52
Connecticut,52
Washington,51
Hawaii,50
Florida,48
New Jersey,47
North Carolina,47
New York,45
Texas,45
Georgia,43
Nevada,42
California,36
