Category: All categories

Region,sexual abuse: (2015)
Alaska,100
Iowa,93
West Virginia,92
New Mexico,81
Nebraska,68
Vermont,67
Wyoming,67
Delaware,67
Maine,66
Kentucky,65
Utah,64
Alabama,63
South Dakota,59
Indiana,59
Idaho,58
Arkansas,58
North Dakota,57
Missouri,56
South Carolina,55
District of Columbia,54
Rhode Island,54
Maryland,54
New Hampshire,53
Oregon,53
Oklahoma,53
Minnesota,52
Mississippi,52
Pennsylvania,51
Illinois,51
Washington,51
Louisiana,51
Wisconsin,49
Connecticut,48
Tennessee,48
Massachusetts,47
North Carolina,47
Arizona,46
Kansas,46
Michigan,46
Georgia,46
Hawaii,46
Colorado,45
Montana,45
Nevada,42
Ohio,42
New York,42
New Jersey,42
Florida,37
California,37
Texas,37
Virginia,33
