Category: All categories

Region,sexual abuse: (2005)
Wyoming,100
Alaska,69
Iowa,64
West Virginia,53
Arkansas,50
New Mexico,46
Vermont,45
Indiana,42
Mississippi,42
Rhode Island,42
Idaho,41
Missouri,41
Kentucky,38
Hawaii,36
Oklahoma,35
Oregon,34
South Dakota,33
Maine,33
Colorado,33
Nebraska,32
North Dakota,32
Tennessee,31
Maryland,31
Michigan,31
Pennsylvania,30
South Carolina,29
Delaware,29
New York,29
Wisconsin,28
Minnesota,28
District of Columbia,28
Connecticut,27
Kansas,27
Virginia,27
North Carolina,27
Utah,27
Illinois,27
Ohio,27
Arizona,27
Washington,26
Massachusetts,26
Georgia,26
Texas,24
New Hampshire,24
Louisiana,23
Florida,22
California,21
New Jersey,20
Alabama,18
Montana,17
Nevada,8
