Category: All categories

Region,Jesus: (2011)
Mississippi,100
Alabama,99
Arkansas,97
Tennessee,92
South Carolina,87
Oklahoma,86
Louisiana,86
North Carolina,84
Kentucky,83
Kansas,82
Indiana,81
West Virginia,80
Texas,79
Missouri,79
Georgia,77
Florida,74
Utah,73
Ohio,69
Virginia,68
South Dakota,65
New Mexico,64
Maryland,64
Nebraska,63
Colorado,62
Arizona,62
Idaho,61
Pennsylvania,61
Washington,61
Michigan,60
Wyoming,60
New Jersey,59
North Dakota,59
California,59
Illinois,58
Delaware,58
Oregon,57
Minnesota,57
Iowa,57
Wisconsin,57
Montana,56
Nevada,54
New York,54
Hawaii,53
Alaska,52
District of Columbia,51
Rhode Island,50
Massachusetts,48
Connecticut,45
Maine,42
New Hampshire,41
Vermont,39
