Category: All categories

Region,Jesus: (2018)
Mississippi,100
Alabama,93
Tennessee,85
Louisiana,85
Kentucky,83
Arkansas,83
Oklahoma,80
Georgia,79
North Carolina,76
South Carolina,76
Texas,73
Utah,71
Indiana,69
Missouri,67
Maryland,67
Virginia,67
Kansas,66
West Virginia,65
Delaware,64
New Mexico,63
Idaho,62
Pennsylvania,62
Florida,62
Hawaii,61
Arizona,61
Michigan,59
Ohio,59
Nebraska,59
California,58
Illinois,57
Iowa,56
New Jersey,55
Oregon,55
Washington,55
Wisconsin,54
Nevada,53
District of Columbia,52
New York,52
Connecticut,52
Minnesota,52
Colorado,51
South Dakota,51
Rhode Island,50
Wyoming,49
Alaska,49
Montana,46
Massachusetts,46
North Dakota,45
Maine,42
New Hampshire,40
Vermont,38
