Category: All categories

Region,child abuse: (2008)
Wyoming,100
Delaware,95
West Virginia,94
Arkansas,89
South Dakota,87
Iowa,83
Kentucky,82
Oklahoma,79
Indiana,79
Nebraska,79
New Mexico,74
North Dakota,71
Mississippi,71
Idaho,71
Pennsylvania,69
South Carolina,67
Utah,65
Oregon,64
Missouri,62
Kansas,62
Michigan,60
Tennessee,59
North Carolina,58
Maine,58
Ohio,58
Alabama,56
Louisiana,54
Wisconsin,54
Arizona,51
Maryland,50
Hawaii,50
Minnesota,49
Georgia,49
New Hampshire,49
Colorado,49
Alaska,49
Montana,48
Florida,48
Nevada,46
Rhode Island,46
Illinois,46
Vermont,46
New York,46
Texas,45
Washington,42
Connecticut,41
California,41
New Jersey,41
District of Columbia,39
Virginia,36
Massachusetts,33
