Category: All categories

Region,child abuse: (2011)
Wyoming,100
Iowa,98
South Dakota,90
Pennsylvania,89
West Virginia,84
Arkansas,83
Mississippi,81
Kentucky,80
Idaho,77
Nebraska,77
Oklahoma,74
New Mexico,73
North Dakota,68
Indiana,68
Tennessee,67
Missouri,67
Kansas,66
Delaware,65
South Carolina,64
Utah,64
Oregon,61
Vermont,60
Louisiana,58
Montana,57
Wisconsin,57
Maine,57
Alaska,57
Alabama,55
Maryland,53
North Carolina,52
Rhode Island,52
Colorado,51
Ohio,51
Michigan,51
Arizona,50
Nevada,50
Texas,50
Hawaii,49
Virginia,49
New Hampshire,49
Florida,49
Minnesota,45
New York,45
New Jersey,44
Illinois,43
Washington,43
Connecticut,43
California,42
District of Columbia,42
Georgia,40
Massachusetts,36
