Category: All categories

Region,child abuse: (2009)
Iowa,100
Kentucky,86
Arkansas,78
New Mexico,78
West Virginia,75
Idaho,75
Delaware,74
Oklahoma,73
Indiana,72
Pennsylvania,69
Nebraska,66
South Dakota,65
Wyoming,64
Missouri,64
Kansas,63
South Carolina,59
Mississippi,59
Michigan,57
Maine,56
New Hampshire,56
Alabama,55
North Dakota,55
Tennessee,55
Maryland,55
North Carolina,55
Ohio,54
Oregon,54
Wisconsin,53
Utah,53
Alaska,52
Louisiana,52
Vermont,52
Colorado,49
Rhode Island,47
Minnesota,47
Georgia,46
Arizona,46
Montana,45
Hawaii,45
New York,44
Illinois,44
Florida,43
Texas,43
Connecticut,43
District of Columbia,42
Washington,42
Nevada,41
New Jersey,39
Massachusetts,32
California,31
Virginia,24
