Category: All categories

Region,illegal drugs: (2016)
Idaho,100
Delaware,98
West Virginia,95
North Dakota,
Iowa,90
Mississippi,89
Oklahoma,86
Arkansas,86
Alabama,80
Maine,78
Indiana,77
Missouri,75
Vermont,
Kentucky,74
Tennessee,71
Minnesota,71
Hawaii,69
New Mexico,69
Nebraska,68
Kansas,68
North Carolina,68
Ohio,66
South Dakota,65
South Carolina,65
Pennsylvania,65
New Hampshire,65
Georgia,63
Virginia,63
Wisconsin,62
Maryland,62
Utah,62
New Jersey,60
Connecticut,59
Rhode Island,59
Arizona,57
Florida,57
Texas,57
Colorado,57
Nevada,56
Louisiana,56
California,51
Michigan,51
Washington,51
New York,50
Illinois,48
Wyoming,
Massachusetts,46
Alaska,
District of Columbia,39
Oregon,37
Montana,28
