Category: All categories

Region,Cutting: (2013)
Montana,100
Wyoming,93
Vermont,92
Idaho,89
Maine,88
Alaska,87
South Dakota,86
Louisiana,84
Oklahoma,83
New Hampshire,83
North Carolina,83
Colorado,82
Wisconsin,82
Washington,82
Michigan,80
North Dakota,80
West Virginia,79
Pennsylvania,79
Connecticut,77
Kentucky,77
Alabama,76
Rhode Island,76
Ohio,76
Indiana,75
Utah,75
Georgia,75
Iowa,74
Kansas,74
Hawaii,74
Tennessee,74
South Carolina,74
Missouri,73
New Jersey,73
Arizona,73
Massachusetts,72
Texas,72
New York,71
Minnesota,71
Delaware,70
New Mexico,70
California,70
Nebraska,69
Maryland,69
Illinois,68
Florida,68
Arkansas,68
Virginia,67
Mississippi,63
Oregon,62
Nevada,60
District of Columbia,52
