Category: All categories

Region,School stress: (2021)
Idaho,100
Iowa,99
Maryland,98
Nebraska,95
Connecticut,91
Oklahoma,87
New Jersey,87
Louisiana,85
Virginia,84
Florida,83
Kentucky,80
Arkansas,80
West Virginia,80
Georgia,80
Arizona,80
Massachusetts,79
Delaware,78
California,77
Nevada,76
Maine,76
Utah,75
Pennsylvania,75
Texas,74
South Carolina,74
Washington,74
Wisconsin,72
Illinois,72
Tennessee,71
North Carolina,71
Alabama,70
Colorado,70
Minnesota,70
Ohio,67
Michigan,67
Indiana,66
New Mexico,66
Missouri,64
New Hampshire,63
Kansas,62
Hawaii,62
New York,61
Rhode Island,60
Oregon,60
Mississippi,51
District of Columbia,42
North Dakota,
South Dakota,
Montana,
Vermont,
Wyoming,
Alaska,
