Category: All categories

Region,School stress: (2015)
Mississippi,100
Arkansas,99
New Hampshire,97
Delaware,97
Wisconsin,92
Indiana,92
Ohio,89
Maryland,88
Connecticut,86
Iowa,85
Massachusetts,82
Colorado,81
Pennsylvania,80
Minnesota,80
Michigan,80
Missouri,80
North Carolina,78
New Jersey,78
Illinois,74
Utah,74
West Virginia,70
Maine,69
Rhode Island,68
Arizona,68
Idaho,67
Kentucky,65
Nebraska,64
Kansas,64
Oregon,64
Hawaii,62
Louisiana,62
Washington,60
Georgia,60
Florida,60
California,59
Alabama,57
New York,57
South Carolina,55
Texas,53
Tennessee,52
District of Columbia,48
Virginia,46
New Mexico,42
Nevada,42
Oklahoma,38
South Dakota,
Montana,
North Dakota,
Alaska,
Vermont,
Wyoming,
