Category: All categories

Region,School stress: (2007)
West Virginia,100
New Hampshire,90
Delaware,73
Arkansas,71
Rhode Island,68
New Mexico,62
Nevada,49
Pennsylvania,47
New Jersey,41
Alabama,41
Colorado,40
Massachusetts,38
Ohio,38
Kentucky,37
Indiana,37
Arizona,35
Minnesota,34
Oregon,34
Utah,33
New York,31
Maryland,31
Kansas,31
Iowa,30
Illinois,30
Missouri,29
Georgia,28
Florida,26
Tennessee,26
Texas,25
North Carolina,25
Connecticut,25
South Carolina,25
Hawaii,24
California,24
District of Columbia,24
Virginia,24
Washington,23
Michigan,22
Louisiana,18
Wisconsin,14
Wyoming,
Alaska,
Montana,
Nebraska,
South Dakota,
Oklahoma,
Vermont,
North Dakota,
Maine,
Idaho,
Mississippi,
