Category: All categories

Region,School stress: (2008)
West Virginia,100
Mississippi,56
Idaho,37
Rhode Island,33
Wisconsin,30
Maine,29
Michigan,28
Kentucky,26
North Carolina,24
Pennsylvania,24
South Carolina,23
Oregon,23
Illinois,22
New York,22
New Jersey,20
Indiana,20
Ohio,20
Minnesota,19
District of Columbia,19
Washington,18
Utah,17
Texas,17
Georgia,16
Missouri,16
Nevada,16
Massachusetts,16
Iowa,15
Maryland,15
Virginia,14
Alabama,14
Kansas,14
California,13
Arizona,13
Florida,13
Connecticut,12
Colorado,10
Louisiana,7
Tennessee,7
South Dakota,
North Dakota,
Alaska,
Oklahoma,
New Mexico,
New Hampshire,
Nebraska,
Montana,
Vermont,
Hawaii,
Delaware,
Arkansas,
Wyoming,
