Category: All categories

Region,School stress: (2012)
Delaware,100
Maine,97
Maryland,89
New Hampshire,84
Idaho,83
Pennsylvania,82
New Jersey,82
Indiana,81
Hawaii,77
Wisconsin,76
Nebraska,75
Virginia,74
Kentucky,72
Missouri,71
North Carolina,71
Iowa,71
Connecticut,70
Massachusetts,69
Michigan,65
Rhode Island,63
Ohio,62
Alabama,62
Utah,59
California,59
Illinois,58
Florida,57
South Carolina,57
Tennessee,57
Oregon,57
New York,56
Mississippi,56
Minnesota,56
Colorado,55
Arkansas,52
Oklahoma,52
Arizona,51
Louisiana,51
Washington,50
Texas,48
Georgia,48
West Virginia,41
Kansas,41
District of Columbia,38
New Mexico,21
Nevada,16
South Dakota,
Wyoming,
Alaska,
Montana,
North Dakota,
Vermont,
