Category: All categories

Region,School stress: (2014)
Rhode Island,100
Utah,88
Connecticut,85
Indiana,84
North Carolina,76
Wisconsin,74
Massachusetts,72
Maryland,72
Nebraska,71
New Jersey,71
Delaware,69
Michigan,68
Pennsylvania,68
Iowa,68
Washington,67
Missouri,66
Arkansas,65
Maine,64
Ohio,63
New Mexico,63
New Hampshire,61
Mississippi,59
Georgia,59
Illinois,58
Hawaii,57
California,57
Arizona,57
Florida,56
Minnesota,56
Colorado,56
New York,54
South Carolina,52
Nevada,48
Texas,48
Tennessee,47
Kentucky,47
Oklahoma,47
Kansas,46
West Virginia,43
District of Columbia,43
Virginia,42
Idaho,40
Alabama,37
Oregon,36
Louisiana,33
South Dakota,
Wyoming,
Montana,
North Dakota,
Alaska,
Vermont,
