Category: All categories

Region,School stress: (2016)
Delaware,100
Connecticut,79
Iowa,75
Indiana,75
Rhode Island,73
New Jersey,69
Minnesota,66
Kansas,65
Ohio,65
Massachusetts,64
Missouri,64
Idaho,64
Illinois,63
Maryland,63
New Hampshire,63
West Virginia,62
Virginia,61
Maine,61
Hawaii,60
Wisconsin,59
Pennsylvania,58
Mississippi,57
California,57
North Carolina,56
Michigan,56
Colorado,55
Washington,54
Alabama,53
New York,51
Georgia,51
Oregon,51
New Mexico,51
Nebraska,51
South Carolina,50
Arkansas,50
Tennessee,48
Florida,47
Louisiana,46
Nevada,46
Utah,44
Texas,43
Arizona,43
Kentucky,39
Oklahoma,36
District of Columbia,35
South Dakota,
North Dakota,
Vermont,
Montana,
Wyoming,
Alaska,
