Category: All categories

Region,exgirlfriend: (2015)
Alaska,
North Dakota,
Kentucky,100
New Hampshire,92
Hawaii,85
Rhode Island,
Wisconsin,82
Tennessee,80
Louisiana,80
Montana,77
South Carolina,77
Idaho,
South Dakota,
Indiana,70
Iowa,67
Oklahoma,67
Alabama,65
Washington,65
Michigan,62
West Virginia,62
District of Columbia,62
Missouri,60
Ohio,60
Massachusetts,60
New Mexico,60
Texas,60
Georgia,57
Arizona,57
Nebraska,57
Mississippi,55
Maine,55
North Carolina,55
California,55
Illinois,52
Pennsylvania,52
Oregon,52
Maryland,52
New Jersey,52
Utah,50
New York,50
Arkansas,47
Nevada,47
Connecticut,45
Colorado,45
Minnesota,45
Florida,45
Virginia,40
Kansas,37
Vermont,20
Delaware,
Wyoming,
