Category: All categories

Region,exgirlfriend: (2006)
Wyoming,
West Virginia,100
Vermont,84
North Dakota,
South Dakota,
Kentucky,58
Mississippi,56
Iowa,51
Louisiana,48
Colorado,45
Tennessee,45
New Mexico,44
Idaho,
Missouri,42
Indiana,42
Ohio,42
Arizona,41
Connecticut,40
Nebraska,39
North Carolina,38
Illinois,38
Georgia,37
Hawaii,36
Virginia,35
Florida,34
Michigan,33
Texas,32
District of Columbia,29
Pennsylvania,28
New Jersey,28
Kansas,28
Massachusetts,28
Utah,28
California,28
South Carolina,27
Alabama,27
Maryland,27
New Hampshire,26
Oklahoma,25
Washington,25
New York,24
Oregon,24
Wisconsin,20
Rhode Island,
Nevada,14
Minnesota,14
Alaska,
Arkansas,
Delaware,
Maine,
Montana,
