Category: All categories

Region,smoking: (2017)
West Virginia,100
Kentucky,97
Maine,97
Arkansas,90
Iowa,89
Indiana,89
Missouri,89
Colorado,89
Michigan,87
Illinois,85
Nebraska,85
Alaska,84
Ohio,84
Oklahoma,83
Pennsylvania,83
South Carolina,83
Tennessee,83
Minnesota,82
Wisconsin,82
South Dakota,81
Mississippi,81
Nevada,81
North Dakota,81
Vermont,81
Wyoming,81
Alabama,80
Oregon,80
Georgia,79
North Carolina,78
Montana,78
Kansas,77
District of Columbia,77
Washington,77
Louisiana,77
Arizona,76
Virginia,76
New Hampshire,76
Massachusetts,75
Connecticut,74
Florida,74
New Mexico,74
New York,74
Rhode Island,74
Idaho,72
New Jersey,69
Maryland,69
California,66
Texas,66
Delaware,65
Utah,64
Hawaii,63
