Category: All categories

Region,smoking: (2012)
Michigan,100
Indiana,93
West Virginia,92
Pennsylvania,90
Louisiana,89
Missouri,89
Wisconsin,87
Alaska,86
Kansas,86
Ohio,86
South Carolina,86
Vermont,86
North Dakota,85
Rhode Island,84
Tennessee,83
Massachusetts,83
Virginia,82
New York,82
Connecticut,82
Georgia,82
Kentucky,82
Wyoming,82
Alabama,81
South Dakota,81
Iowa,80
Minnesota,80
Illinois,80
North Carolina,80
Washington,79
Florida,79
New Jersey,79
Oklahoma,78
Arkansas,78
Delaware,77
Arizona,77
Montana,77
Oregon,76
Maryland,76
Nebraska,76
Maine,76
Nevada,75
Mississippi,74
Colorado,74
New Hampshire,74
Texas,73
District of Columbia,73
California,70
Idaho,68
New Mexico,66
Hawaii,66
Utah,58
