Category: All categories

Region,smoking: (2013)
Indiana,100
Michigan,98
Missouri,95
Kentucky,94
West Virginia,92
Kansas,92
Minnesota,91
Arkansas,91
Mississippi,91
Louisiana,90
Vermont,90
Ohio,89
New York,89
Nebraska,89
Illinois,89
North Dakota,88
Tennessee,88
Pennsylvania,87
South Carolina,86
Alabama,85
Colorado,85
Wisconsin,85
Alaska,85
Connecticut,85
South Dakota,84
Maine,84
Montana,84
Georgia,84
Washington,83
New Jersey,83
Delaware,82
Oklahoma,82
North Carolina,82
Virginia,81
Nevada,81
Florida,81
Iowa,81
New Hampshire,81
Wyoming,80
Maryland,79
Arizona,79
Massachusetts,79
California,78
New Mexico,77
Texas,76
Rhode Island,75
District of Columbia,74
Idaho,69
Utah,65
Hawaii,63
Oregon,56
