Category: All categories

Region,smoking: (2019)
West Virginia,100
Missouri,85
Georgia,85
Michigan,85
Nebraska,83
Indiana,83
Oklahoma,83
Ohio,82
Iowa,80
Kentucky,80
Alabama,80
Mississippi,79
Wisconsin,78
Wyoming,78
Pennsylvania,78
Tennessee,77
Nevada,77
Arkansas,77
North Carolina,77
Colorado,77
Kansas,77
New Hampshire,76
Illinois,76
Vermont,75
South Carolina,75
South Dakota,75
Oregon,74
Alaska,74
Idaho,73
Minnesota,73
New Mexico,72
Arizona,72
Maine,71
Texas,70
Washington,70
Montana,70
Massachusetts,69
Connecticut,69
Louisiana,69
Maryland,69
North Dakota,68
New York,68
California,67
Florida,66
Virginia,65
Delaware,65
New Jersey,64
Rhode Island,64
Utah,64
Hawaii,54
District of Columbia,49
