Category: All categories

Region,noose: (2020)
Alabama,100
West Virginia,94
North Dakota,87
Nevada,86
Nebraska,83
California,79
Alaska,79
Oregon,79
South Carolina,79
Arizona,78
South Dakota,78
Texas,77
Iowa,77
Kansas,76
Indiana,76
Georgia,76
Wisconsin,76
Rhode Island,76
Florida,76
Mississippi,75
Missouri,75
Montana,75
Oklahoma,74
Arkansas,74
North Carolina,74
Idaho,73
Hawaii,73
Minnesota,72
New Mexico,72
Tennessee,72
Maine,71
Maryland,71
New Hampshire,70
Michigan,70
Colorado,70
Washington,70
Delaware,70
Connecticut,69
Virginia,68
Pennsylvania,68
Utah,68
Louisiana,68
Ohio,68
Kentucky,67
Massachusetts,66
Illinois,66
Wyoming,65
Vermont,63
New Jersey,61
New York,61
District of Columbia,60
