Category: All categories

Region,noose: (2011)
New Mexico,100
Idaho,92
New Hampshire,91
Indiana,86
Oklahoma,85
Wyoming,85
Maine,82
Montana,80
Kansas,79
Ohio,78
Utah,77
Louisiana,76
Vermont,76
Alaska,76
Colorado,72
Nevada,70
Kentucky,70
Oregon,70
Iowa,70
West Virginia,70
Missouri,70
Wisconsin,69
Washington,69
North Dakota,69
Arizona,69
Pennsylvania,68
Michigan,66
Delaware,65
Alabama,65
Maryland,64
Illinois,64
Arkansas,64
Connecticut,64
Mississippi,62
New York,62
Minnesota,61
Texas,60
Virginia,60
Rhode Island,60
District of Columbia,59
Massachusetts,59
Georgia,58
North Carolina,57
Tennessee,56
New Jersey,55
South Dakota,55
California,54
Nebraska,52
Florida,50
South Carolina,43
Hawaii,42
