Category: All categories

Region,noose: (2018)
South Dakota,100
Montana,97
Wyoming,90
Mississippi,90
Idaho,88
Arkansas,88
Hawaii,87
North Dakota,83
Maine,83
Indiana,83
Alaska,83
Michigan,81
Kentucky,80
Ohio,80
Rhode Island,80
Iowa,80
Nebraska,79
New Hampshire,79
Washington,78
California,77
Colorado,77
West Virginia,77
Pennsylvania,76
Missouri,76
Oklahoma,75
Alabama,75
Arizona,75
New Mexico,75
Minnesota,75
Nevada,74
Utah,74
Oregon,74
Wisconsin,72
Louisiana,71
Delaware,71
Vermont,70
Massachusetts,70
Maryland,70
North Carolina,70
South Carolina,70
Kansas,68
Connecticut,68
Tennessee,68
Virginia,67
Illinois,67
Texas,67
Georgia,66
New Jersey,63
New York,60
Florida,58
District of Columbia,41
