Category: All categories

Region,Antisocial personality disorder: (2010)
South Dakota,100
West Virginia,85
Vermont,70
Maine,70
Iowa,70
Rhode Island,69
Wisconsin,67
Wyoming,
Connecticut,63
Pennsylvania,62
Nebraska,60
Indiana,60
Kentucky,60
New Hampshire,58
Oklahoma,58
Mississippi,57
Ohio,57
Minnesota,56
Oregon,55
Tennessee,54
Missouri,54
Alabama,52
North Carolina,50
Illinois,49
Utah,49
North Dakota,48
Florida,48
South Carolina,48
Massachusetts,47
Arizona,45
District of Columbia,45
Louisiana,44
Colorado,43
Hawaii,42
Michigan,42
Maryland,42
Georgia,41
Idaho,40
New York,40
New Jersey,38
Nevada,36
Texas,35
Alaska,
Kansas,32
Washington,31
New Mexico,28
California,22
Arkansas,22
Virginia,21
Delaware,
Montana,
