Category: All categories

Region,Antisocial personality disorder: (2004)
Wyoming,
Idaho,100
West Virginia,57
New Mexico,38
Indiana,32
Ohio,30
Kansas,29
South Carolina,29
Wisconsin,28
Michigan,25
Maryland,25
Washington,23
Iowa,23
Minnesota,22
Illinois,22
District of Columbia,22
Texas,20
Virginia,20
Connecticut,18
Colorado,17
Missouri,17
North Carolina,16
New Jersey,16
Arizona,16
Massachusetts,14
Florida,12
California,11
Georgia,10
Pennsylvania,9
New York,5
Alaska,
Alabama,
Arkansas,
Delaware,
Hawaii,
Kentucky,
Louisiana,
Maine,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
Nevada,
Oklahoma,
Oregon,
Rhode Island,
South Dakota,
Tennessee,
Utah,
Vermont,
