Category: All categories

Region,Antisocial personality disorder: (2020)
North Dakota,100
New Hampshire,82
Arkansas,74
Utah,72
Wyoming,
Maine,65
Kansas,65
Washington,62
Oklahoma,62
Montana,62
Maryland,60
West Virginia,60
Minnesota,60
Rhode Island,60
Indiana,58
Wisconsin,58
Illinois,58
Connecticut,58
Missouri,58
Oregon,58
New Mexico,56
Massachusetts,56
Pennsylvania,55
Ohio,55
North Carolina,55
Michigan,55
Idaho,55
Mississippi,55
New Jersey,53
Virginia,53
Georgia,53
Delaware,53
Kentucky,51
District of Columbia,51
Arizona,51
Nebraska,51
Iowa,50
New York,50
Colorado,50
Vermont,48
California,48
Florida,48
Tennessee,48
Nevada,46
South Carolina,46
Alabama,46
Louisiana,46
South Dakota,44
Texas,43
Alaska,
Hawaii,34
