Category: All categories

Region,Antisocial personality disorder: (2014)
Wyoming,
South Dakota,100
New Hampshire,75
Missouri,72
North Dakota,72
Idaho,70
Indiana,68
Wisconsin,66
Ohio,66
Mississippi,66
Utah,63
North Carolina,61
Massachusetts,61
Iowa,59
Connecticut,59
New Mexico,59
Minnesota,59
Alaska,
Nebraska,58
West Virginia,58
Pennsylvania,56
Colorado,56
Alabama,55
Michigan,55
Maryland,54
Florida,54
Washington,54
New Jersey,54
Kentucky,54
Arkansas,54
South Carolina,54
Illinois,54
Kansas,52
Tennessee,51
Louisiana,51
Arizona,51
Delaware,50
Nevada,50
Hawaii,50
Georgia,48
Vermont,48
Rhode Island,47
Oklahoma,45
New York,45
California,44
Texas,43
Virginia,38
District of Columbia,34
Oregon,27
Montana,27
Maine,23
