Category: All categories

Region,guns: (2010)
Alaska,100
Wyoming,94
Kentucky,85
Kansas,84
South Dakota,83
Arizona,81
Montana,81
Idaho,80
Indiana,79
New Mexico,78
Missouri,76
Ohio,76
West Virginia,75
Tennessee,75
North Carolina,73
Colorado,73
North Dakota,73
Arkansas,73
Wisconsin,71
Oklahoma,71
Nebraska,70
Louisiana,70
Maine,69
Utah,69
Michigan,69
South Carolina,67
New Hampshire,67
Mississippi,67
Washington,66
Oregon,66
Pennsylvania,65
Florida,65
Connecticut,65
Georgia,65
Alabama,64
Iowa,64
Nevada,63
Texas,62
New Jersey,62
Illinois,59
Hawaii,59
Rhode Island,58
Delaware,57
Minnesota,56
District of Columbia,56
Maryland,52
New York,51
Massachusetts,50
Vermont,46
Virginia,43
California,42
