Category: All categories

Region,guns: (2005)
Wyoming,100
Alaska,86
Montana,80
South Dakota,79
North Dakota,74
West Virginia,71
Louisiana,71
Arkansas,69
Nevada,67
Mississippi,66
Idaho,66
Utah,65
Oklahoma,65
Maine,63
Kentucky,61
Nebraska,59
New Mexico,59
Arizona,58
Vermont,58
Indiana,57
Iowa,56
Kansas,56
Alabama,56
Oregon,56
South Carolina,55
Tennessee,55
New Hampshire,55
Washington,55
Texas,54
Wisconsin,54
Florida,54
Michigan,53
Missouri,52
Connecticut,52
North Carolina,51
Rhode Island,51
Colorado,50
Minnesota,49
Illinois,49
Ohio,48
Pennsylvania,47
Georgia,47
Hawaii,46
Delaware,45
Virginia,44
California,43
Maryland,42
New Jersey,41
New York,41
Massachusetts,38
District of Columbia,38
