Category: All categories

Region,guns: (2004)
Alaska,100
Montana,99
South Dakota,95
Idaho,90
Wyoming,89
Kentucky,83
West Virginia,82
Maine,82
Nebraska,82
Vermont,79
North Dakota,78
Nevada,77
Mississippi,74
Utah,72
Louisiana,71
Kansas,71
Wisconsin,70
Oklahoma,69
Arizona,68
Arkansas,68
Alabama,66
Tennessee,64
Iowa,64
Minnesota,64
New Hampshire,64
Michigan,63
South Carolina,63
Oregon,63
Indiana,62
New Mexico,62
Ohio,62
Rhode Island,61
Connecticut,61
Texas,61
Colorado,60
Missouri,59
Washington,58
Hawaii,58
Pennsylvania,55
North Carolina,55
Illinois,52
Florida,52
California,51
Georgia,51
New Jersey,49
Virginia,49
Delaware,46
Maryland,46
New York,45
Massachusetts,43
District of Columbia,39
