Category: All categories

Region,guns: (2013)
Wyoming,100
Utah,98
Alaska,95
West Virginia,95
Idaho,94
Oklahoma,87
Missouri,86
Montana,85
Iowa,85
Indiana,83
Kentucky,83
New Mexico,80
Arkansas,80
Arizona,78
Kansas,78
Louisiana,78
Colorado,77
Nebraska,77
Nevada,75
Tennessee,73
Texas,71
Mississippi,71
Ohio,71
Alabama,71
South Dakota,70
Wisconsin,69
North Dakota,68
South Carolina,68
Michigan,67
North Carolina,66
Virginia,65
Washington,65
Maine,64
New Hampshire,64
Connecticut,62
Georgia,62
Illinois,61
Vermont,61
Pennsylvania,60
Minnesota,59
Delaware,57
Florida,57
Maryland,56
California,54
Hawaii,52
Rhode Island,51
District of Columbia,48
Oregon,48
Massachusetts,48
New Jersey,47
New York,46
