Category: All categories

Region,guns: (2020)
Idaho,100
West Virginia,97
New Mexico,96
Kentucky,95
Indiana,93
Montana,87
Missouri,86
Alaska,82
Tennessee,81
Utah,79
Nevada,78
Wyoming,78
Arizona,78
Iowa,77
Oklahoma,77
Arkansas,76
North Dakota,75
Nebraska,72
North Carolina,70
Texas,70
Ohio,69
Mississippi,69
Michigan,69
New Hampshire,69
South Dakota,69
Pennsylvania,68
Alabama,68
Illinois,68
Maine,67
Kansas,67
Washington,66
Louisiana,66
Virginia,65
Georgia,64
Colorado,63
Oregon,62
Wisconsin,61
Vermont,61
South Carolina,60
Minnesota,59
Florida,53
Rhode Island,52
Connecticut,52
Delaware,52
California,51
Hawaii,50
Maryland,48
Massachusetts,45
New York,40
New Jersey,40
District of Columbia,35
