Category: All categories

Region,guns: (2018)
New Mexico,100
West Virginia,96
Idaho,94
Indiana,93
Utah,91
Alaska,89
Oklahoma,89
Montana,87
Wyoming,85
Iowa,83
New Hampshire,81
Missouri,81
Nebraska,80
Kentucky,80
Arizona,80
Arkansas,78
Louisiana,76
Maine,76
Tennessee,75
Wisconsin,73
North Dakota,73
Kansas,72
Alabama,72
Nevada,71
Mississippi,69
North Carolina,69
Ohio,69
Washington,67
Pennsylvania,67
Colorado,67
South Dakota,66
Vermont,66
Oregon,66
Illinois,66
Texas,65
Virginia,63
South Carolina,62
Michigan,61
Florida,59
Connecticut,59
Georgia,59
Hawaii,59
Minnesota,54
Rhode Island,53
California,53
Maryland,51
Delaware,50
Massachusetts,48
New York,48
New Jersey,45
District of Columbia,38
