Category: All categories

Region,guns: (2019)
West Virginia,100
Kentucky,99
Idaho,98
New Mexico,97
Montana,89
Indiana,88
Utah,86
Alaska,85
Wyoming,84
Oklahoma,82
Missouri,79
Tennessee,77
Iowa,77
Arkansas,76
Nebraska,74
North Dakota,73
Kansas,73
Alabama,73
Texas,71
North Carolina,70
New Hampshire,70
Arizona,70
Maine,69
Mississippi,69
Louisiana,68
Washington,67
Illinois,66
South Dakota,66
Ohio,65
Nevada,64
Wisconsin,63
Virginia,63
Colorado,62
Oregon,62
Michigan,62
Vermont,61
Pennsylvania,60
South Carolina,59
Minnesota,58
Georgia,58
Florida,56
Connecticut,51
Maryland,50
Rhode Island,48
Delaware,48
California,47
Massachusetts,44
Hawaii,44
New York,39
New Jersey,38
District of Columbia,35
