Category: All categories

Region,guns: (2007)
Wyoming,100
Alaska,99
Montana,97
Idaho,94
South Dakota,91
West Virginia,89
North Dakota,85
Arkansas,85
Utah,80
Missouri,78
Vermont,77
Arizona,77
Mississippi,77
Nebraska,75
Maine,74
Oklahoma,74
Kentucky,72
Nevada,72
New Mexico,72
Kansas,72
North Carolina,70
Iowa,69
New Hampshire,69
Wisconsin,68
Louisiana,67
Alabama,67
Delaware,66
South Carolina,66
Texas,66
Tennessee,66
Washington,65
Florida,65
Ohio,65
Pennsylvania,65
Michigan,65
Indiana,64
Georgia,63
Colorado,62
Virginia,61
Rhode Island,60
Oregon,59
Minnesota,57
Hawaii,56
New Jersey,56
California,55
Connecticut,53
Illinois,52
New York,52
Massachusetts,50
Maryland,47
District of Columbia,46
