Category: All categories

Region,guns: (2021)
Idaho,100
West Virginia,97
New Mexico,93
Montana,89
Kentucky,88
Indiana,88
Utah,83
Wyoming,80
Iowa,78
Missouri,78
Alaska,77
North Dakota,74
Nebraska,73
Oklahoma,73
Arizona,70
Arkansas,69
Ohio,68
Maine,67
Louisiana,67
North Carolina,66
Alabama,66
Tennessee,65
Michigan,65
Wisconsin,64
Mississippi,64
Pennsylvania,64
Vermont,64
Oregon,64
Kansas,63
Illinois,63
Colorado,63
South Dakota,62
New Hampshire,61
Nevada,60
Washington,60
South Carolina,58
Texas,58
Virginia,58
Minnesota,57
Georgia,57
Florida,50
Maryland,48
Connecticut,48
Delaware,45
Rhode Island,45
California,45
Hawaii,43
Massachusetts,43
New Jersey,40
New York,36
District of Columbia,36
