Category: All categories

Region,family stress: (2008)
North Dakota,
Vermont,
West Virginia,100
New Hampshire,
New Mexico,82
Delaware,
Maine,
Iowa,62
Nevada,44
Wisconsin,44
Oregon,44
Tennessee,33
District of Columbia,
Ohio,32
Missouri,28
North Carolina,28
Maryland,28
Arkansas,28
Pennsylvania,26
Oklahoma,26
Georgia,26
Washington,26
Louisiana,25
Florida,25
California,23
Indiana,21
Illinois,21
Michigan,19
Colorado,19
Virginia,19
New York,19
Massachusetts,17
South Carolina,16
Arizona,16
Utah,14
Connecticut,14
Texas,14
Minnesota,12
New Jersey,12
Alaska,
Alabama,
Hawaii,
Idaho,
Kansas,
Kentucky,
Mississippi,
Montana,
Nebraska,
Rhode Island,
South Dakota,
Wyoming,
