Category: All categories

Region,family stress: (2009)
North Dakota,
Arkansas,100
West Virginia,76
Wyoming,
South Dakota,
Oregon,58
Nebraska,54
Mississippi,52
Wisconsin,50
Kansas,44
Utah,38
Michigan,38
South Carolina,38
Illinois,38
Missouri,38
Minnesota,36
Tennessee,36
North Carolina,36
Maryland,34
New Hampshire,
Pennsylvania,30
Colorado,28
Ohio,26
Connecticut,26
Indiana,26
Texas,24
Kentucky,24
Nevada,24
Virginia,22
Hawaii,
Florida,22
Georgia,20
California,20
Arizona,20
New Jersey,18
New York,18
District of Columbia,
Alabama,18
Massachusetts,16
Louisiana,16
Washington,10
Alaska,
Delaware,
Iowa,
Idaho,
Maine,
Montana,
New Mexico,
Oklahoma,
Rhode Island,
Vermont,
