Category: All categories

Region,family stress: (2019)
North Dakota,
West Virginia,100
Nebraska,92
Wyoming,
Alaska,
Kentucky,76
Kansas,76
Indiana,72
Rhode Island,
New Mexico,68
District of Columbia,
Virginia,64
Hawaii,
Oklahoma,60
Vermont,
Maryland,60
Missouri,60
Michigan,60
Wisconsin,56
Iowa,56
Delaware,
Idaho,56
Connecticut,56
Ohio,52
Arkansas,52
Minnesota,52
Illinois,52
Arizona,52
North Carolina,52
Pennsylvania,52
Florida,52
California,48
Texas,48
Maine,
New Jersey,48
Georgia,48
Oregon,44
Louisiana,44
South Dakota,
Washington,44
New York,40
Colorado,40
Tennessee,40
Alabama,40
Utah,40
Nevada,36
Mississippi,36
South Carolina,36
Massachusetts,36
Montana,
New Hampshire,
