Category: All categories

Region,family stress: (2013)
North Dakota,
Kansas,100
Arkansas,76
Nebraska,73
Alabama,69
Minnesota,65
Kentucky,61
Maryland,61
Arizona,61
Hawaii,
Ohio,57
New Mexico,57
Louisiana,53
Virginia,53
New Jersey,50
South Carolina,50
Wisconsin,50
Vermont,
Indiana,50
North Carolina,46
Pennsylvania,46
Mississippi,46
Michigan,42
New Hampshire,
Florida,42
California,38
Illinois,38
New York,38
Nevada,38
Utah,38
Missouri,38
Oklahoma,34
Washington,34
Connecticut,34
District of Columbia,
West Virginia,34
Colorado,34
Iowa,34
Georgia,30
Texas,30
Maine,
Massachusetts,30
Oregon,26
Tennessee,26
Idaho,15
Alaska,
Delaware,
Montana,
Rhode Island,
South Dakota,
Wyoming,
