Category: All categories

Region,family stress: (2012)
Hawaii,
South Dakota,
Vermont,
Mississippi,100
North Dakota,
Nebraska,96
Alaska,
Maine,
Arkansas,67
Utah,67
Oregon,67
Oklahoma,64
Kansas,64
Nevada,60
Montana,
West Virginia,57
Connecticut,57
Virginia,53
North Carolina,53
New Hampshire,
New Jersey,50
Ohio,50
Indiana,50
Louisiana,46
Pennsylvania,46
Arizona,42
Tennessee,42
Minnesota,42
Maryland,42
Alabama,42
Illinois,39
Colorado,39
Wisconsin,39
Kentucky,39
New Mexico,39
Missouri,35
Georgia,35
California,35
Idaho,35
Florida,35
Michigan,35
New York,35
Washington,32
Iowa,32
Massachusetts,32
Texas,28
District of Columbia,
South Carolina,28
Delaware,
Rhode Island,
Wyoming,
