Category: All categories

Region,Bullying: (2006)
Vermont,100
South Dakota,93
Iowa,86
Kentucky,85
Connecticut,77
Maine,74
Nebraska,73
Rhode Island,73
New Hampshire,70
West Virginia,67
Indiana,65
Kansas,64
Montana,62
New Jersey,60
Wisconsin,59
Pennsylvania,58
Hawaii,57
Wyoming,57
Alaska,51
Illinois,50
Michigan,49
North Dakota,47
Minnesota,47
Ohio,46
New York,45
New Mexico,41
Massachusetts,41
Idaho,40
Maryland,39
Washington,39
Tennessee,37
Oklahoma,37
Mississippi,36
Missouri,35
Delaware,35
Oregon,34
District of Columbia,33
Virginia,33
Utah,32
Florida,31
Arizona,31
Arkansas,30
North Carolina,30
Colorado,29
South Carolina,29
Texas,27
Louisiana,27
Georgia,26
Nevada,25
Alabama,24
California,23
