Category: All categories

Region,Bullying: (2017)
Mississippi,100
New Jersey,97
South Dakota,96
Iowa,93
Arkansas,91
West Virginia,90
Vermont,89
Kansas,89
Delaware,88
Rhode Island,85
Wyoming,84
Hawaii,83
Connecticut,83
New York,82
Nebraska,80
Maine,79
Missouri,78
Idaho,77
Indiana,77
Wisconsin,76
Illinois,76
North Dakota,75
Pennsylvania,75
Texas,74
South Carolina,73
California,73
New Hampshire,72
Nevada,71
Louisiana,71
Kentucky,71
Michigan,71
Montana,70
New Mexico,69
Ohio,68
Virginia,68
Alabama,67
Maryland,67
Massachusetts,67
North Carolina,66
Oklahoma,65
Alaska,64
Minnesota,64
Georgia,60
Tennessee,57
Oregon,57
Colorado,55
Arizona,55
Utah,55
Florida,54
District of Columbia,52
Washington,50
