Category: All categories

Region,Bullying: (2018)
Wyoming,100
Iowa,95
Hawaii,94
Mississippi,94
Vermont,93
South Dakota,93
Arkansas,93
New Jersey,91
Maine,89
North Dakota,88
Connecticut,83
New York,82
Delaware,81
Missouri,79
Rhode Island,79
Kansas,79
West Virginia,79
Indiana,78
Wisconsin,76
Virginia,76
Illinois,76
New Hampshire,75
Kentucky,75
South Carolina,75
California,75
Nebraska,74
Idaho,74
Pennsylvania,73
Nevada,72
Texas,71
Michigan,71
Massachusetts,71
Maryland,71
Alabama,69
Ohio,69
Louisiana,69
Alaska,68
Georgia,68
North Carolina,65
New Mexico,64
Minnesota,63
District of Columbia,63
Oregon,62
Oklahoma,62
Arizona,60
Utah,59
Montana,59
Florida,58
Colorado,57
Washington,55
Tennessee,53
