Category: All categories

Region,Bullying: (2010)
North Dakota,100
Delaware,79
West Virginia,73
South Dakota,73
Rhode Island,72
Iowa,72
New Hampshire,70
Indiana,62
Nebraska,58
Maine,56
Kentucky,54
Mississippi,54
Wyoming,53
Connecticut,53
Massachusetts,51
Michigan,51
Hawaii,50
Pennsylvania,48
Arkansas,47
Montana,46
Ohio,46
Oklahoma,46
New Mexico,45
New York,44
Wisconsin,43
Missouri,42
South Carolina,41
Alabama,40
Louisiana,39
Maryland,39
Kansas,38
Minnesota,38
North Carolina,38
Tennessee,37
Illinois,37
New Jersey,35
District of Columbia,33
Nevada,33
Georgia,33
Utah,32
Texas,32
Arizona,31
Washington,31
Florida,31
Oregon,31
Colorado,29
Idaho,28
Vermont,27
Alaska,26
Virginia,23
California,23
