Category: All categories

Region,Jesus: (2021)
Utah,100
Idaho,67
Mississippi,60
Arkansas,59
Alabama,55
Tennessee,53
Oklahoma,52
Louisiana,51
North Carolina,49
Indiana,48
Georgia,47
Missouri,46
South Carolina,46
Kentucky,46
Texas,46
Kansas,46
Arizona,45
West Virginia,45
Virginia,42
Maryland,42
New Mexico,41
Florida,41
Hawaii,40
California,38
Wyoming,38
Ohio,37
Nebraska,37
Michigan,36
Illinois,36
Delaware,36
Pennsylvania,36
Colorado,36
Nevada,36
Oregon,36
Alaska,35
Iowa,35
Connecticut,34
South Dakota,33
New Jersey,33
Washington,32
District of Columbia,32
Montana,31
Minnesota,31
Rhode Island,30
North Dakota,30
Massachusetts,29
New York,29
Wisconsin,29
Maine,27
New Hampshire,25
Vermont,23
