Category: All categories

Region,Jesus: (2019)
Utah,100
Mississippi,93
Alabama,90
Arkansas,81
Oklahoma,80
Louisiana,80
Idaho,79
Tennessee,79
Texas,75
Kentucky,75
Georgia,73
South Carolina,72
North Carolina,71
Indiana,68
Florida,67
New Mexico,65
West Virginia,65
Virginia,64
Missouri,62
Kansas,62
Arizona,61
Ohio,61
Maryland,61
California,60
Delaware,57
Hawaii,56
Nebraska,55
Pennsylvania,55
Illinois,54
Iowa,53
Minnesota,52
Oregon,52
Michigan,52
Washington,51
Colorado,51
New Jersey,51
Connecticut,50
Wyoming,50
Nevada,50
South Dakota,49
Alaska,49
Wisconsin,48
Rhode Island,48
District of Columbia,48
Montana,47
New York,46
Massachusetts,46
North Dakota,44
New Hampshire,40
Maine,37
Vermont,33
