Category: All categories

Region,hope: (2017)
Rhode Island,100
Arkansas,83
North Carolina,71
Minnesota,57
Michigan,49
Alabama,49
District of Columbia,48
Pennsylvania,47
West Virginia,45
New Jersey,44
Tennessee,44
Iowa,44
Georgia,43
Mississippi,43
Maine,42
Indiana,41
Hawaii,40
Alaska,39
Missouri,38
South Carolina,38
Wisconsin,37
Connecticut,37
North Dakota,37
Nebraska,36
Massachusetts,36
Oklahoma,35
Ohio,35
Kentucky,35
Idaho,35
Virginia,35
Maryland,34
Kansas,33
Illinois,33
California,33
New Mexico,33
New York,32
Louisiana,32
Colorado,32
Oregon,31
Texas,31
Utah,31
Florida,30
Arizona,30
Vermont,30
Delaware,29
Washington,29
New Hampshire,28
Nevada,28
South Dakota,27
Montana,26
Wyoming,26
