Category: All categories

Region,hope: (2021)
Rhode Island,100
Arkansas,100
North Carolina,97
Minnesota,68
District of Columbia,60
Maine,59
Pennsylvania,58
Alabama,58
Michigan,57
West Virginia,54
Iowa,52
New Jersey,50
Tennessee,49
Alaska,49
Mississippi,47
Oklahoma,47
South Carolina,47
North Dakota,45
Georgia,45
Kansas,45
Hawaii,44
Wisconsin,44
Idaho,44
Nebraska,43
Indiana,42
Missouri,42
Virginia,42
Ohio,41
Louisiana,41
Kentucky,40
Connecticut,40
California,39
Oregon,39
Maryland,39
Texas,39
New Mexico,37
Delaware,36
Massachusetts,36
Arizona,36
Utah,36
New Hampshire,36
Illinois,35
South Dakota,35
Colorado,34
Washington,34
Nevada,33
Vermont,33
New York,33
Florida,32
Wyoming,32
Montana,32
