Category: All categories

Region,hope: (2018)
Rhode Island,100
Arkansas,86
North Carolina,76
Minnesota,60
District of Columbia,57
Michigan,52
West Virginia,50
Alabama,48
Pennsylvania,48
Maine,47
Iowa,44
Mississippi,44
Georgia,44
New Jersey,43
South Carolina,43
Tennessee,42
Alaska,41
Connecticut,40
Kansas,40
Wisconsin,39
Idaho,39
Ohio,38
Virginia,38
Kentucky,38
Hawaii,38
Maryland,38
Indiana,37
Oklahoma,37
Missouri,37
North Dakota,37
Nebraska,36
Massachusetts,36
Utah,35
Oregon,35
Louisiana,35
California,35
Texas,34
New York,34
Arizona,33
New Mexico,33
Colorado,33
Florida,33
Washington,32
Illinois,31
New Hampshire,30
Delaware,30
Vermont,30
Nevada,29
Montana,28
South Dakota,27
Wyoming,26
